2024-08-24 20:08:23.2429 | INFO | Microsoft.AspNetCore.Routing.EndpointMiddleware | Executing endpoint '405 HTTP Method Not Supported' 
2024-08-24 20:08:23.2429 | INFO | Microsoft.AspNetCore.Routing.EndpointMiddleware | Executed endpoint '405 HTTP Method Not Supported' 
2024-08-24 20:08:23.2429 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/1.1 POST http://localhost:5103/api/messages - 405 0 - 9.0336ms 
2024-08-24 20:08:28.6382 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 POST http://localhost:5103/api/messages - application/json;+charset=utf-8 60 
2024-08-24 20:08:28.6382 | INFO | Microsoft.AspNetCore.Routing.EndpointMiddleware | Executing endpoint '405 HTTP Method Not Supported' 
2024-08-24 20:08:28.6382 | INFO | Microsoft.AspNetCore.Routing.EndpointMiddleware | Executed endpoint '405 HTTP Method Not Supported' 
2024-08-24 20:08:28.6382 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/1.1 POST http://localhost:5103/api/messages - 405 0 - 1.6722ms 
2024-08-24 20:08:34.5556 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 POST http://localhost:5103/api/messages - application/json;+charset=utf-8 60 
2024-08-24 20:08:34.5556 | INFO | Microsoft.AspNetCore.Routing.EndpointMiddleware | Executing endpoint '405 HTTP Method Not Supported' 
2024-08-24 20:08:34.5556 | INFO | Microsoft.AspNetCore.Routing.EndpointMiddleware | Executed endpoint '405 HTTP Method Not Supported' 
2024-08-24 20:08:34.5556 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/1.1 POST http://localhost:5103/api/messages - 405 0 - 1.7271ms 
2024-08-24 20:08:35.3025 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 POST http://localhost:5103/api/messages - application/json;+charset=utf-8 60 
2024-08-24 20:08:35.3025 | INFO | Microsoft.AspNetCore.Routing.EndpointMiddleware | Executing endpoint '405 HTTP Method Not Supported' 
2024-08-24 20:08:35.3025 | INFO | Microsoft.AspNetCore.Routing.EndpointMiddleware | Executed endpoint '405 HTTP Method Not Supported' 
2024-08-24 20:08:35.3025 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/1.1 POST http://localhost:5103/api/messages - 405 0 - 0.4483ms 
2024-08-24 20:09:02.5849 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 POST http://localhost:5103/api/messages - application/json;+charset=utf-8 60 
2024-08-24 20:09:02.5849 | INFO | Microsoft.AspNetCore.Routing.EndpointMiddleware | Executing endpoint '405 HTTP Method Not Supported' 
2024-08-24 20:09:02.5849 | INFO | Microsoft.AspNetCore.Routing.EndpointMiddleware | Executed endpoint '405 HTTP Method Not Supported' 
2024-08-24 20:09:02.5849 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/1.1 POST http://localhost:5103/api/messages - 405 0 - 8.3828ms 
2024-08-24 20:09:10.4266 | INFO | Microsoft.Hosting.Lifetime | Now listening on: http://localhost:5103 
2024-08-24 20:09:10.4602 | INFO | Microsoft.Hosting.Lifetime | Application started. Press Ctrl+C to shut down. 
2024-08-24 20:09:10.4602 | INFO | Microsoft.Hosting.Lifetime | Hosting environment: Development 
2024-08-24 20:09:10.4602 | INFO | Microsoft.Hosting.Lifetime | Content root path: C:\Users\joker\source\repos\Wallet.MessageService\MessageService.API 
2024-08-24 20:09:12.2621 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET http://localhost:5103/swagger/index.html - - - 
2024-08-24 20:09:12.7479 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/1.1 GET http://localhost:5103/swagger/index.html - 200 - text/html;charset=utf-8 497.7046ms 
2024-08-24 20:09:12.7479 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET http://localhost:5103/_framework/aspnetcore-browser-refresh.js - - - 
2024-08-24 20:09:12.7479 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET http://localhost:5103/_vs/browserLink - - - 
2024-08-24 20:09:12.7573 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/1.1 GET http://localhost:5103/_framework/aspnetcore-browser-refresh.js - 200 13772 application/javascript;+charset=utf-8 3.3439ms 
2024-08-24 20:09:12.8005 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/1.1 GET http://localhost:5103/_vs/browserLink - 200 - text/javascript;+charset=UTF-8 46.7374ms 
2024-08-24 20:09:12.9109 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET http://localhost:5103/swagger/v1/swagger.json - - - 
2024-08-24 20:09:13.0882 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/1.1 GET http://localhost:5103/swagger/v1/swagger.json - 200 - application/json;charset=utf-8 177.4198ms 
2024-08-24 20:11:32.2323 | INFO | Microsoft.Hosting.Lifetime | Now listening on: http://localhost:5103 
2024-08-24 20:11:32.2574 | INFO | Microsoft.Hosting.Lifetime | Application started. Press Ctrl+C to shut down. 
2024-08-24 20:11:32.2574 | INFO | Microsoft.Hosting.Lifetime | Hosting environment: Development 
2024-08-24 20:11:32.2574 | INFO | Microsoft.Hosting.Lifetime | Content root path: C:\Users\joker\source\repos\Wallet.MessageService\MessageService.API 
2024-08-24 20:11:32.7170 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET http://localhost:5103/swagger - - - 
2024-08-24 20:11:32.8497 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/1.1 GET http://localhost:5103/swagger - 301 0 - 133.1335ms 
2024-08-24 20:11:32.8497 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET http://localhost:5103/swagger/index.html - - - 
2024-08-24 20:11:32.9291 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/1.1 GET http://localhost:5103/swagger/index.html - 200 - text/html;charset=utf-8 77.9067ms 
2024-08-24 20:11:32.9291 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET http://localhost:5103/swagger/swagger-ui-bundle.js - - - 
2024-08-24 20:11:32.9291 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET http://localhost:5103/swagger/swagger-ui.css - - - 
2024-08-24 20:11:32.9291 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET http://localhost:5103/swagger/swagger-ui-standalone-preset.js - - - 
2024-08-24 20:11:32.9291 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET http://localhost:5103/_framework/aspnetcore-browser-refresh.js - - - 
2024-08-24 20:11:32.9377 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET http://localhost:5103/_vs/browserLink - - - 
2024-08-24 20:11:32.9377 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/1.1 GET http://localhost:5103/_framework/aspnetcore-browser-refresh.js - 200 13772 application/javascript;+charset=utf-8 6.4610ms 
2024-08-24 20:11:32.9896 | INFO | Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware | Sending file. Request path: '/swagger-ui-standalone-preset.js'. Physical path: 'N/A' 
2024-08-24 20:11:32.9896 | INFO | Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware | Sending file. Request path: '/swagger-ui.css'. Physical path: 'N/A' 
2024-08-24 20:11:32.9896 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/1.1 GET http://localhost:5103/swagger/swagger-ui.css - 200 143943 text/css 55.9538ms 
2024-08-24 20:11:32.9896 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/1.1 GET http://localhost:5103/swagger/swagger-ui-standalone-preset.js - 200 339486 text/javascript 55.8425ms 
2024-08-24 20:11:33.0068 | INFO | Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware | Sending file. Request path: '/swagger-ui-bundle.js'. Physical path: 'N/A' 
2024-08-24 20:11:33.0068 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/1.1 GET http://localhost:5103/swagger/swagger-ui-bundle.js - 200 1096145 text/javascript 70.1451ms 
2024-08-24 20:11:33.0162 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/1.1 GET http://localhost:5103/_vs/browserLink - 200 - text/javascript;+charset=UTF-8 78.3543ms 
2024-08-24 20:11:33.2048 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET http://localhost:5103/swagger/v1/swagger.json - - - 
2024-08-24 20:11:33.3508 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/1.1 GET http://localhost:5103/swagger/v1/swagger.json - 200 - application/json;charset=utf-8 145.9300ms 
2024-08-24 20:12:20.3951 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 POST http://localhost:5103/api/messages - application/json;+charset=utf-8 60 
2024-08-24 20:12:20.3951 | INFO | Microsoft.AspNetCore.Routing.EndpointMiddleware | Executing endpoint '405 HTTP Method Not Supported' 
2024-08-24 20:12:20.3951 | INFO | Microsoft.AspNetCore.Routing.EndpointMiddleware | Executed endpoint '405 HTTP Method Not Supported' 
2024-08-24 20:12:20.3951 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/1.1 POST http://localhost:5103/api/messages - 405 0 - 9.4305ms 
2024-08-24 20:13:33.3914 | INFO | Microsoft.Hosting.Lifetime | Now listening on: http://localhost:5103 
2024-08-24 20:13:33.4269 | INFO | Microsoft.Hosting.Lifetime | Application started. Press Ctrl+C to shut down. 
